Street Address,City,ST ZIP Code,Phone,Fax,Plant Name,Street Address (Plant),City (Plant),ST ZIP Code (Plant),Contact Name,Phone (Plant),Email (Plant),Vehicle Model,VIN Number,Assembly Line Number,Quantity,Defect Type,Location,Severity,Recommended,Remarks
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1000,AL1,1,Defect 1,Location 1,High,Repair,Remark 1
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1001,AL2,1,Defect 2,Location 2,High,Repair,Remark 2
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1002,AL3,1,Defect 3,Location 3,High,Repair,Remark 3
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1003,AL4,1,Defect 4,Location 4,High,Repair,Remark 4
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1004,AL5,1,Defect 5,Location 5,High,Repair,Remark 5
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1005,AL6,1,Defect 6,Location 6,High,Repair,Remark 6
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1006,AL7,1,Defect 7,Location 7,High,Repair,Remark 7
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1007,AL8,1,Defect 8,Location 8,High,Repair,Remark 8
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1008,AL9,1,Defect 9,Location 9,High,Repair,Remark 9
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1009,AL10,1,Defect 10,Location 10,High,Repair,Remark 10
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1010,AL11,1,Defect 11,Location 11,High,Repair,Remark 11
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1011,AL12,1,Defect 12,Location 12,High,Repair,Remark 12
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1012,AL13,1,Defect 13,Location 13,High,Repair,Remark 13
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1013,AL14,1,Defect 14,Location 14,High,Repair,Remark 14
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1014,AL15,1,Defect 15,Location 15,High,Repair,Remark 15
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1015,AL16,1,Defect 16,Location 16,High,Repair,Remark 16
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1016,AL17,1,Defect 17,Location 17,High,Repair,Remark 17
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1017,AL18,1,Defect 18,Location 18,High,Repair,Remark 18
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1018,AL19,1,Defect 19,Location 19,High,Repair,Remark 19
123 Example St,Example City,12345,123-456-7890,123-456-7891,Example Plant,456 Plant St,Plant City,54321,John Doe,987-654-3210,johndoe@example.com,Model X,VIN1019,AL20,1,Defect 20,Location 20,High,Repair,Remark 20
